--> Epoch 0: loss 3.6582; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 1: loss 3.6365; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 2: loss 3.6203; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 3: loss 3.6080; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 4: loss 3.5980; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 5: loss 3.5887; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 6: loss 3.5776; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 7: loss 3.5687; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 8: loss 3.5583; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 9: loss 3.5494; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 10: loss 3.5391; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 11: loss 3.5287; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 12: loss 3.5194; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 13: loss 3.5065; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 14: loss 3.4984; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 15: loss 3.4850; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 16: loss 3.4785; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 17: loss 3.4598; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 18: loss 3.4561; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 19: loss 3.4434; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 20: loss 3.4263; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 21: loss 3.4167; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 22: loss 3.4077; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 23: loss 3.3969; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 24: loss 3.3805; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 25: loss 3.3707; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 26: loss 3.3662; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 27: loss 3.3399; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 28: loss 3.3326; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 29: loss 3.3196; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 30: loss 3.3116; accuracy: 0.0270; best accuracy: 0.0270
--> Epoch 31: loss 3.2898; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 32: loss 3.2835; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 33: loss 3.2643; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 34: loss 3.2533; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 35: loss 3.2350; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 36: loss 3.2198; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 37: loss 3.2119; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 38: loss 3.2066; accuracy: 0.0270; best accuracy: 0.0541
--> Epoch 39: loss 3.1978; accuracy: 0.0541; best accuracy: 0.0541
--> Epoch 40: loss 3.1709; accuracy: 0.0811; best accuracy: 0.0811
--> Epoch 41: loss 3.1491; accuracy: 0.0811; best accuracy: 0.0811
--> Epoch 42: loss 3.1440; accuracy: 0.1081; best accuracy: 0.1081
--> Epoch 43: loss 3.1367; accuracy: 0.1351; best accuracy: 0.1351
--> Epoch 44: loss 3.1139; accuracy: 0.1351; best accuracy: 0.1351
--> Epoch 45: loss 3.1011; accuracy: 0.1351; best accuracy: 0.1351
--> Epoch 46: loss 3.1061; accuracy: 0.1622; best accuracy: 0.1622
--> Epoch 47: loss 3.0986; accuracy: 0.1622; best accuracy: 0.1622
--> Epoch 48: loss 3.0845; accuracy: 0.1622; best accuracy: 0.1622
--> Epoch 49: loss 3.0535; accuracy: 0.1351; best accuracy: 0.1622
--> Epoch 50: loss 3.0434; accuracy: 0.1622; best accuracy: 0.1622
--> Epoch 51: loss 3.0552; accuracy: 0.1892; best accuracy: 0.1892
--> Epoch 52: loss 3.0342; accuracy: 0.1351; best accuracy: 0.1892
--> Epoch 53: loss 3.0158; accuracy: 0.1351; best accuracy: 0.1892
--> Epoch 54: loss 3.0144; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 55: loss 3.0089; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 56: loss 2.9793; accuracy: 0.2432; best accuracy: 0.2703
--> Epoch 57: loss 2.9503; accuracy: 0.1892; best accuracy: 0.2703
--> Epoch 58: loss 2.9653; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 59: loss 2.9731; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 60: loss 2.9428; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 61: loss 2.9455; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 62: loss 2.9214; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 63: loss 2.8931; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 64: loss 2.8931; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 65: loss 2.8990; accuracy: 0.2703; best accuracy: 0.2703
--> Epoch 66: loss 2.8721; accuracy: 0.2973; best accuracy: 0.2973
--> Epoch 67: loss 2.8532; accuracy: 0.2703; best accuracy: 0.2973
--> Epoch 68: loss 2.8596; accuracy: 0.2703; best accuracy: 0.2973
--> Epoch 69: loss 2.8673; accuracy: 0.2703; best accuracy: 0.2973
--> Epoch 70: loss 2.8252; accuracy: 0.2703; best accuracy: 0.2973
--> Epoch 71: loss 2.8147; accuracy: 0.2973; best accuracy: 0.2973
--> Epoch 72: loss 2.8799; accuracy: 0.2703; best accuracy: 0.2973
--> Epoch 73: loss 2.8384; accuracy: 0.2973; best accuracy: 0.2973
--> Epoch 74: loss 2.8023; accuracy: 0.2703; best accuracy: 0.2973
--> Epoch 75: loss 2.7871; accuracy: 0.2432; best accuracy: 0.2973
--> Epoch 76: loss 2.7633; accuracy: 0.2973; best accuracy: 0.2973
--> Epoch 77: loss 2.7793; accuracy: 0.2973; best accuracy: 0.2973
--> Epoch 78: loss 2.7670; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 79: loss 2.7281; accuracy: 0.2973; best accuracy: 0.3514
--> Epoch 80: loss 2.7696; accuracy: 0.2973; best accuracy: 0.3514
--> Epoch 81: loss 2.7267; accuracy: 0.2973; best accuracy: 0.3514
--> Epoch 82: loss 2.7254; accuracy: 0.2973; best accuracy: 0.3514
--> Epoch 83: loss 2.7106; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 84: loss 2.7333; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 85: loss 2.7605; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 86: loss 2.7028; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 87: loss 2.7366; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 88: loss 2.6953; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 89: loss 2.6963; accuracy: 0.2973; best accuracy: 0.3514
--> Epoch 90: loss 2.6677; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 91: loss 2.6297; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 92: loss 2.6440; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 93: loss 2.7047; accuracy: 0.2703; best accuracy: 0.3514
--> Epoch 94: loss 2.6579; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 95: loss 2.6359; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 96: loss 2.6230; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 97: loss 2.6050; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 98: loss 2.6093; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 99: loss 2.5918; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 100: loss 2.5921; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 101: loss 2.5629; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 102: loss 2.5890; accuracy: 0.3243; best accuracy: 0.3514
--> Epoch 103: loss 2.5835; accuracy: 0.3514; best accuracy: 0.3514
--> Epoch 104: loss 2.5683; accuracy: 0.4054; best accuracy: 0.4054
--> Epoch 105: loss 2.5446; accuracy: 0.3514; best accuracy: 0.4054
--> Epoch 106: loss 2.5833; accuracy: 0.3243; best accuracy: 0.4054
--> Epoch 107: loss 2.5487; accuracy: 0.3514; best accuracy: 0.4054
--> Epoch 108: loss 2.5151; accuracy: 0.3514; best accuracy: 0.4054
--> Epoch 109: loss 2.5363; accuracy: 0.3514; best accuracy: 0.4054
--> Epoch 110: loss 2.5426; accuracy: 0.3784; best accuracy: 0.4054
--> Epoch 111: loss 2.4818; accuracy: 0.4324; best accuracy: 0.4324
--> Epoch 112: loss 2.5033; accuracy: 0.3784; best accuracy: 0.4324
--> Epoch 113: loss 2.4928; accuracy: 0.4054; best accuracy: 0.4324
--> Epoch 114: loss 2.5125; accuracy: 0.3784; best accuracy: 0.4324
--> Epoch 115: loss 2.5204; accuracy: 0.4054; best accuracy: 0.4324
--> Epoch 116: loss 2.4614; accuracy: 0.3784; best accuracy: 0.4324
--> Epoch 117: loss 2.4864; accuracy: 0.3784; best accuracy: 0.4324
--> Epoch 118: loss 2.4808; accuracy: 0.3514; best accuracy: 0.4324
--> Epoch 119: loss 2.4493; accuracy: 0.3784; best accuracy: 0.4324
--> Epoch 120: loss 2.4961; accuracy: 0.4324; best accuracy: 0.4324
--> Epoch 121: loss 2.4474; accuracy: 0.4324; best accuracy: 0.4324
--> Epoch 122: loss 2.4364; accuracy: 0.3784; best accuracy: 0.4324
--> Epoch 123: loss 2.4554; accuracy: 0.4054; best accuracy: 0.4324
--> Epoch 124: loss 2.4171; accuracy: 0.4595; best accuracy: 0.4595
--> Epoch 125: loss 2.3898; accuracy: 0.5135; best accuracy: 0.5135
--> Epoch 126: loss 2.3948; accuracy: 0.4595; best accuracy: 0.5135
--> Epoch 127: loss 2.3857; accuracy: 0.3784; best accuracy: 0.5135
--> Epoch 128: loss 2.3936; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 129: loss 2.3705; accuracy: 0.4865; best accuracy: 0.5135
--> Epoch 130: loss 2.3707; accuracy: 0.4595; best accuracy: 0.5135
--> Epoch 131: loss 2.4080; accuracy: 0.4595; best accuracy: 0.5135
--> Epoch 132: loss 2.3731; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 133: loss 2.4034; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 134: loss 2.3715; accuracy: 0.4865; best accuracy: 0.5135
--> Epoch 135: loss 2.3430; accuracy: 0.4595; best accuracy: 0.5135
--> Epoch 136: loss 2.3373; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 137: loss 2.3504; accuracy: 0.4595; best accuracy: 0.5135
--> Epoch 138: loss 2.3434; accuracy: 0.4054; best accuracy: 0.5135
--> Epoch 139: loss 2.3597; accuracy: 0.3514; best accuracy: 0.5135
--> Epoch 140: loss 2.3778; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 141: loss 2.3325; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 142: loss 2.3015; accuracy: 0.3514; best accuracy: 0.5135
--> Epoch 143: loss 2.3644; accuracy: 0.4865; best accuracy: 0.5135
--> Epoch 144: loss 2.2968; accuracy: 0.3784; best accuracy: 0.5135
--> Epoch 145: loss 2.3237; accuracy: 0.4324; best accuracy: 0.5135
--> Epoch 146: loss 2.3167; accuracy: 0.5946; best accuracy: 0.5946
--> Epoch 147: loss 2.2961; accuracy: 0.4324; best accuracy: 0.5946
--> Epoch 148: loss 2.3059; accuracy: 0.4865; best accuracy: 0.5946
--> Epoch 149: loss 2.2966; accuracy: 0.4865; best accuracy: 0.5946
--> Epoch 150: loss 2.2615; accuracy: 0.5135; best accuracy: 0.5946
--> Epoch 151: loss 2.2707; accuracy: 0.5135; best accuracy: 0.5946
--> Epoch 152: loss 2.2783; accuracy: 0.5405; best accuracy: 0.5946
--> Epoch 153: loss 2.2686; accuracy: 0.5135; best accuracy: 0.5946
--> Epoch 154: loss 2.2668; accuracy: 0.4865; best accuracy: 0.5946
--> Epoch 155: loss 2.2579; accuracy: 0.5135; best accuracy: 0.5946
--> Epoch 156: loss 2.2487; accuracy: 0.5405; best accuracy: 0.5946
--> Epoch 157: loss 2.2123; accuracy: 0.5405; best accuracy: 0.5946
--> Epoch 158: loss 2.2420; accuracy: 0.5676; best accuracy: 0.5946
--> Epoch 159: loss 2.1930; accuracy: 0.5946; best accuracy: 0.5946
--> Epoch 160: loss 2.2070; accuracy: 0.6486; best accuracy: 0.6486
--> Epoch 161: loss 2.2085; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 162: loss 2.2008; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 163: loss 2.1739; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 164: loss 2.1798; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 165: loss 2.2013; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 166: loss 2.1769; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 167: loss 2.1972; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 168: loss 2.1636; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 169: loss 2.1699; accuracy: 0.5135; best accuracy: 0.6486
--> Epoch 170: loss 2.1371; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 171: loss 2.1739; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 172: loss 2.1683; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 173: loss 2.1645; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 174: loss 2.1613; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 175: loss 2.1444; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 176: loss 2.1383; accuracy: 0.4865; best accuracy: 0.6486
--> Epoch 177: loss 2.1466; accuracy: 0.6486; best accuracy: 0.6486
--> Epoch 178: loss 2.1588; accuracy: 0.6486; best accuracy: 0.6486
--> Epoch 179: loss 2.1668; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 180: loss 2.1466; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 181: loss 2.1110; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 182: loss 2.0721; accuracy: 0.6216; best accuracy: 0.6486
--> Epoch 183: loss 2.1272; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 184: loss 2.1361; accuracy: 0.3784; best accuracy: 0.6486
--> Epoch 185: loss 2.1727; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 186: loss 2.0913; accuracy: 0.5405; best accuracy: 0.6486
--> Epoch 187: loss 2.0954; accuracy: 0.6216; best accuracy: 0.6486
--> Epoch 188: loss 2.1236; accuracy: 0.6216; best accuracy: 0.6486
--> Epoch 189: loss 2.1127; accuracy: 0.6216; best accuracy: 0.6486
--> Epoch 190: loss 2.0831; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 191: loss 2.0640; accuracy: 0.5946; best accuracy: 0.6486
--> Epoch 192: loss 2.0933; accuracy: 0.6216; best accuracy: 0.6486
--> Epoch 193: loss 2.0539; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 194: loss 2.0512; accuracy: 0.5676; best accuracy: 0.6486
--> Epoch 195: loss 2.0654; accuracy: 0.6757; best accuracy: 0.6757
--> Epoch 196: loss 2.0371; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 197: loss 2.0274; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 198: loss 2.0491; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 199: loss 2.0476; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 200: loss 2.0166; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 201: loss 2.0174; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 202: loss 2.0171; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 203: loss 2.0760; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 204: loss 2.0311; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 205: loss 1.9878; accuracy: 0.5676; best accuracy: 0.7027
--> Epoch 206: loss 2.0300; accuracy: 0.5405; best accuracy: 0.7027
--> Epoch 207: loss 2.0161; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 208: loss 2.0428; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 209: loss 2.0060; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 210: loss 2.0028; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 211: loss 2.0050; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 212: loss 1.9486; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 213: loss 1.9922; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 214: loss 2.0163; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 215: loss 1.9730; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 216: loss 2.0022; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 217: loss 1.9610; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 218: loss 1.9567; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 219: loss 1.9493; accuracy: 0.5676; best accuracy: 0.7027
--> Epoch 220: loss 1.9628; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 221: loss 1.9387; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 222: loss 1.9577; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 223: loss 1.9345; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 224: loss 1.9261; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 225: loss 1.9050; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 226: loss 1.8998; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 227: loss 1.8736; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 228: loss 1.9108; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 229: loss 1.8955; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 230: loss 1.9357; accuracy: 0.5676; best accuracy: 0.7027
--> Epoch 231: loss 1.8779; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 232: loss 1.8940; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 233: loss 1.8726; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 234: loss 1.9043; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 235: loss 1.8896; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 236: loss 1.8863; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 237: loss 1.8777; accuracy: 0.5405; best accuracy: 0.7027
--> Epoch 238: loss 1.9046; accuracy: 0.5405; best accuracy: 0.7027
--> Epoch 239: loss 1.8683; accuracy: 0.5135; best accuracy: 0.7027
--> Epoch 240: loss 1.8744; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 241: loss 1.8685; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 242: loss 1.8761; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 243: loss 1.8169; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 244: loss 1.8453; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 245: loss 1.8418; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 246: loss 1.8221; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 247: loss 1.8191; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 248: loss 1.8448; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 249: loss 1.8269; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 250: loss 1.8614; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 251: loss 1.8207; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 252: loss 1.8100; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 253: loss 1.8128; accuracy: 0.5946; best accuracy: 0.7027
--> Epoch 254: loss 1.8115; accuracy: 0.7027; best accuracy: 0.7027
--> Epoch 255: loss 1.8287; accuracy: 0.6216; best accuracy: 0.7027
--> Epoch 256: loss 1.8188; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 257: loss 1.8171; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 258: loss 1.7844; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 259: loss 1.7675; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 260: loss 1.7860; accuracy: 0.6757; best accuracy: 0.7027
--> Epoch 261: loss 1.7595; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 262: loss 1.7735; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 263: loss 1.7771; accuracy: 0.6486; best accuracy: 0.7027
--> Epoch 264: loss 1.7695; accuracy: 0.7297; best accuracy: 0.7297
--> Epoch 265: loss 1.7695; accuracy: 0.6757; best accuracy: 0.7297
--> Epoch 266: loss 1.7980; accuracy: 0.7027; best accuracy: 0.7297
--> Epoch 267: loss 1.7423; accuracy: 0.6216; best accuracy: 0.7297
--> Epoch 268: loss 1.7834; accuracy: 0.6757; best accuracy: 0.7297
--> Epoch 269: loss 1.7331; accuracy: 0.7027; best accuracy: 0.7297
--> Epoch 270: loss 1.7582; accuracy: 0.6757; best accuracy: 0.7297
