--> Epoch 0: loss 2.2981; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 1: loss 2.2009; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 2: loss 2.1314; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 3: loss 2.0754; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 4: loss 2.0366; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 5: loss 1.9831; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 6: loss 1.9443; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 7: loss 1.9196; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 8: loss 1.8840; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 9: loss 1.8421; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 10: loss 1.8192; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 11: loss 1.7982; accuracy: 0.1000; best accuracy: 0.1000
--> Epoch 12: loss 1.7715; accuracy: 0.1600; best accuracy: 0.1600
--> Epoch 13: loss 1.7475; accuracy: 0.1600; best accuracy: 0.1600
--> Epoch 14: loss 1.7035; accuracy: 0.1800; best accuracy: 0.1800
--> Epoch 15: loss 1.6823; accuracy: 0.1800; best accuracy: 0.1800
--> Epoch 16: loss 1.6672; accuracy: 0.1600; best accuracy: 0.1800
--> Epoch 17: loss 1.6429; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 18: loss 1.6032; accuracy: 0.2400; best accuracy: 0.2400
--> Epoch 19: loss 1.5983; accuracy: 0.2400; best accuracy: 0.2400
--> Epoch 20: loss 1.5680; accuracy: 0.2400; best accuracy: 0.2400
--> Epoch 21: loss 1.5345; accuracy: 0.2400; best accuracy: 0.2400
--> Epoch 22: loss 1.5224; accuracy: 0.2800; best accuracy: 0.2800
--> Epoch 23: loss 1.4823; accuracy: 0.3000; best accuracy: 0.3000
--> Epoch 24: loss 1.4714; accuracy: 0.3000; best accuracy: 0.3000
--> Epoch 25: loss 1.4554; accuracy: 0.3000; best accuracy: 0.3000
--> Epoch 26: loss 1.4195; accuracy: 0.3200; best accuracy: 0.3200
--> Epoch 27: loss 1.3992; accuracy: 0.3800; best accuracy: 0.3800
--> Epoch 28: loss 1.3959; accuracy: 0.4600; best accuracy: 0.4600
--> Epoch 29: loss 1.3625; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 30: loss 1.3480; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 31: loss 1.3309; accuracy: 0.5200; best accuracy: 0.5200
--> Epoch 32: loss 1.3058; accuracy: 0.5200; best accuracy: 0.5200
--> Epoch 33: loss 1.2890; accuracy: 0.5800; best accuracy: 0.5800
--> Epoch 34: loss 1.2567; accuracy: 0.6200; best accuracy: 0.6200
--> Epoch 35: loss 1.2472; accuracy: 0.6600; best accuracy: 0.6600
--> Epoch 36: loss 1.2472; accuracy: 0.6600; best accuracy: 0.6600
--> Epoch 37: loss 1.1946; accuracy: 0.6800; best accuracy: 0.6800
--> Epoch 38: loss 1.1882; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 39: loss 1.1967; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 40: loss 1.1445; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 41: loss 1.1184; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 42: loss 1.1366; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 43: loss 1.1178; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 44: loss 1.0918; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 45: loss 1.0544; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 46: loss 1.0414; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 47: loss 1.0323; accuracy: 0.7400; best accuracy: 0.7400
--> Epoch 48: loss 1.0416; accuracy: 0.7600; best accuracy: 0.7600
--> Epoch 49: loss 1.0011; accuracy: 0.7800; best accuracy: 0.7800
--> Epoch 50: loss 0.9749; accuracy: 0.7800; best accuracy: 0.7800
--> Epoch 51: loss 0.9721; accuracy: 0.7800; best accuracy: 0.7800
--> Epoch 52: loss 0.9443; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 53: loss 0.9441; accuracy: 0.7600; best accuracy: 0.8000
--> Epoch 54: loss 0.9420; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 55: loss 0.9175; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 56: loss 0.8833; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 57: loss 0.8828; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 58: loss 0.8699; accuracy: 0.7600; best accuracy: 0.8000
--> Epoch 59: loss 0.8788; accuracy: 0.7800; best accuracy: 0.8000
--> Epoch 60: loss 0.8484; accuracy: 0.8400; best accuracy: 0.8400
--> Epoch 61: loss 0.8308; accuracy: 0.8400; best accuracy: 0.8400
--> Epoch 62: loss 0.8184; accuracy: 0.8000; best accuracy: 0.8400
--> Epoch 63: loss 0.8174; accuracy: 0.8400; best accuracy: 0.8400
--> Epoch 64: loss 0.7872; accuracy: 0.8600; best accuracy: 0.8600
--> Epoch 65: loss 0.7942; accuracy: 0.8600; best accuracy: 0.8600
--> Epoch 66: loss 0.7875; accuracy: 0.8400; best accuracy: 0.8600
--> Epoch 67: loss 0.7433; accuracy: 0.8000; best accuracy: 0.8600
--> Epoch 68: loss 0.7464; accuracy: 0.8000; best accuracy: 0.8600
--> Epoch 69: loss 0.7560; accuracy: 0.9400; best accuracy: 0.9400
--> Epoch 70: loss 0.7191; accuracy: 0.8800; best accuracy: 0.9400
--> Epoch 71: loss 0.7188; accuracy: 0.8600; best accuracy: 0.9400
--> Epoch 72: loss 0.7254; accuracy: 0.8800; best accuracy: 0.9400
--> Epoch 73: loss 0.6983; accuracy: 0.8200; best accuracy: 0.9400
--> Epoch 74: loss 0.6933; accuracy: 0.8400; best accuracy: 0.9400
--> Epoch 75: loss 0.6920; accuracy: 0.8400; best accuracy: 0.9400
--> Epoch 76: loss 0.6772; accuracy: 0.9400; best accuracy: 0.9400
--> Epoch 77: loss 0.6669; accuracy: 0.9000; best accuracy: 0.9400
--> Epoch 78: loss 0.6868; accuracy: 0.9400; best accuracy: 0.9400
--> Epoch 79: loss 0.6518; accuracy: 0.8400; best accuracy: 0.9400
--> Epoch 80: loss 0.6524; accuracy: 0.9000; best accuracy: 0.9400
--> Epoch 81: loss 0.6430; accuracy: 0.9200; best accuracy: 0.9400
--> Epoch 82: loss 0.6220; accuracy: 0.8600; best accuracy: 0.9400
--> Epoch 83: loss 0.6204; accuracy: 0.9200; best accuracy: 0.9400
--> Epoch 84: loss 0.6087; accuracy: 0.9600; best accuracy: 0.9600
--> Epoch 85: loss 0.5806; accuracy: 0.9400; best accuracy: 0.9600
--> Epoch 86: loss 0.5943; accuracy: 0.9600; best accuracy: 0.9600
--> Epoch 87: loss 0.5829; accuracy: 0.9200; best accuracy: 0.9600
--> Epoch 88: loss 0.5738; accuracy: 0.8400; best accuracy: 0.9600
--> Epoch 89: loss 0.5770; accuracy: 0.8800; best accuracy: 0.9600
--> Epoch 90: loss 0.5533; accuracy: 0.9400; best accuracy: 0.9600
--> Epoch 91: loss 0.5657; accuracy: 0.9600; best accuracy: 0.9600
--> Epoch 92: loss 0.5483; accuracy: 0.9800; best accuracy: 0.9800
--> Epoch 93: loss 0.5391; accuracy: 0.9800; best accuracy: 0.9800
--> Epoch 94: loss 0.5450; accuracy: 0.9800; best accuracy: 0.9800
--> Epoch 95: loss 0.5516; accuracy: 0.9400; best accuracy: 0.9800
--> Epoch 96: loss 0.5392; accuracy: 0.8600; best accuracy: 0.9800
--> Epoch 97: loss 0.5087; accuracy: 0.8400; best accuracy: 0.9800
--> Epoch 98: loss 0.5077; accuracy: 0.9400; best accuracy: 0.9800
--> Epoch 99: loss 0.4935; accuracy: 0.9600; best accuracy: 0.9800
--> Epoch 100: loss 0.5024; accuracy: 0.9600; best accuracy: 0.9800
--> Epoch 101: loss 0.5111; accuracy: 0.8600; best accuracy: 0.9800
--> Epoch 102: loss 0.5069; accuracy: 0.8400; best accuracy: 0.9800
--> Epoch 103: loss 0.4852; accuracy: 0.9400; best accuracy: 0.9800
--> Epoch 104: loss 0.5176; accuracy: 0.9200; best accuracy: 0.9800
--> Epoch 105: loss 0.5064; accuracy: 0.9800; best accuracy: 0.9800
--> Epoch 106: loss 0.4649; accuracy: 0.9600; best accuracy: 0.9800
--> Epoch 107: loss 0.4709; accuracy: 0.8600; best accuracy: 0.9800
--> Epoch 108: loss 0.4735; accuracy: 0.8600; best accuracy: 0.9800
--> Epoch 109: loss 0.4628; accuracy: 0.9400; best accuracy: 0.9800
--> Epoch 110: loss 0.4627; accuracy: 0.9600; best accuracy: 0.9800
--> Epoch 111: loss 0.4647; accuracy: 0.9800; best accuracy: 0.9800
--> Epoch 112: loss 0.4575; accuracy: 0.9600; best accuracy: 0.9800
--> Epoch 113: loss 0.4339; accuracy: 0.9200; best accuracy: 0.9800
