--> Epoch 0: loss 1.1788; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 1: loss 1.1056; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 2: loss 1.0408; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 3: loss 0.9899; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 4: loss 0.9441; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 5: loss 0.9072; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 6: loss 0.8745; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 7: loss 0.8357; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 8: loss 0.8098; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 9: loss 0.7807; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 10: loss 0.7523; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 11: loss 0.7265; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 12: loss 0.7121; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 13: loss 0.6759; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 14: loss 0.6813; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 15: loss 0.6548; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 16: loss 0.6284; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 17: loss 0.6108; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 18: loss 0.5972; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 19: loss 0.5807; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 20: loss 0.5543; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 21: loss 0.5353; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 22: loss 0.5184; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 23: loss 0.5208; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 24: loss 0.5075; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 25: loss 0.4823; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 26: loss 0.4567; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 27: loss 0.4616; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 28: loss 0.4469; accuracy: 0.5333; best accuracy: 0.5333
--> Epoch 29: loss 0.4383; accuracy: 0.5333; best accuracy: 0.5333
--> Epoch 30: loss 0.4164; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 31: loss 0.3969; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 32: loss 0.4168; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 33: loss 0.4020; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 34: loss 0.3767; accuracy: 0.6667; best accuracy: 0.6667
--> Epoch 35: loss 0.3698; accuracy: 0.6667; best accuracy: 0.6667
--> Epoch 36: loss 0.3553; accuracy: 0.6000; best accuracy: 0.6667
--> Epoch 37: loss 0.3570; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 38: loss 0.3530; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 39: loss 0.3229; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 40: loss 0.3254; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 41: loss 0.3135; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 42: loss 0.3119; accuracy: 0.8667; best accuracy: 0.8667
--> Epoch 43: loss 0.2991; accuracy: 0.8000; best accuracy: 0.8667
--> Epoch 44: loss 0.2965; accuracy: 0.8000; best accuracy: 0.8667
--> Epoch 45: loss 0.2913; accuracy: 0.8667; best accuracy: 0.8667
--> Epoch 46: loss 0.2855; accuracy: 0.8000; best accuracy: 0.8667
--> Epoch 47: loss 0.2706; accuracy: 0.8667; best accuracy: 0.8667
--> Epoch 48: loss 0.2708; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 49: loss 0.2624; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 50: loss 0.2526; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 51: loss 0.2453; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 52: loss 0.2386; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 53: loss 0.2320; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 54: loss 0.2358; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 55: loss 0.2257; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 56: loss 0.2202; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 57: loss 0.2108; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 58: loss 0.2063; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 59: loss 0.1983; accuracy: 0.9333; best accuracy: 1.0000
--> Epoch 60: loss 0.1987; accuracy: 0.9333; best accuracy: 1.0000
--> Epoch 61: loss 0.1893; accuracy: 0.9333; best accuracy: 1.0000
--> Epoch 62: loss 0.1883; accuracy: 0.9333; best accuracy: 1.0000
--> Epoch 63: loss 0.1823; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 64: loss 0.1803; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 65: loss 0.1699; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 66: loss 0.1662; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 67: loss 0.1632; accuracy: 1.0000; best accuracy: 1.0000
