--> Epoch 0: loss 1.2295; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 1: loss 1.1515; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 2: loss 1.0834; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 3: loss 1.0399; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 4: loss 1.0022; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 5: loss 0.9608; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 6: loss 0.9289; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 7: loss 0.9063; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 8: loss 0.8842; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 9: loss 0.8520; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 10: loss 0.8455; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 11: loss 0.8244; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 12: loss 0.7964; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 13: loss 0.7962; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 14: loss 0.7864; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 15: loss 0.7717; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 16: loss 0.7732; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 17: loss 0.7406; accuracy: 0.3333; best accuracy: 0.3333
--> Epoch 18: loss 0.7368; accuracy: 0.4667; best accuracy: 0.4667
--> Epoch 19: loss 0.7380; accuracy: 0.4667; best accuracy: 0.4667
--> Epoch 20: loss 0.7080; accuracy: 0.4667; best accuracy: 0.4667
--> Epoch 21: loss 0.7022; accuracy: 0.4000; best accuracy: 0.4667
--> Epoch 22: loss 0.6869; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 23: loss 0.7027; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 24: loss 0.6880; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 25: loss 0.6638; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 26: loss 0.6447; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 27: loss 0.6539; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 28: loss 0.6623; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 29: loss 0.6437; accuracy: 0.3333; best accuracy: 0.4667
--> Epoch 30: loss 0.6242; accuracy: 0.4000; best accuracy: 0.4667
--> Epoch 31: loss 0.6325; accuracy: 0.4667; best accuracy: 0.4667
--> Epoch 32: loss 0.5863; accuracy: 0.4667; best accuracy: 0.4667
--> Epoch 33: loss 0.6039; accuracy: 0.5333; best accuracy: 0.5333
--> Epoch 34: loss 0.5864; accuracy: 0.5333; best accuracy: 0.5333
--> Epoch 35: loss 0.5753; accuracy: 0.5333; best accuracy: 0.5333
--> Epoch 36: loss 0.5853; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 37: loss 0.5866; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 38: loss 0.5336; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 39: loss 0.5667; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 40: loss 0.5185; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 41: loss 0.5235; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 42: loss 0.5088; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 43: loss 0.5237; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 44: loss 0.5375; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 45: loss 0.4873; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 46: loss 0.4750; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 47: loss 0.4907; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 48: loss 0.4886; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 49: loss 0.4461; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 50: loss 0.4390; accuracy: 0.6667; best accuracy: 0.7333
--> Epoch 51: loss 0.4436; accuracy: 0.6667; best accuracy: 0.7333
--> Epoch 52: loss 0.4463; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 53: loss 0.4395; accuracy: 0.7333; best accuracy: 0.7333
--> Epoch 54: loss 0.4133; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 55: loss 0.4033; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 56: loss 0.3743; accuracy: 0.8667; best accuracy: 0.8667
--> Epoch 57: loss 0.3772; accuracy: 0.8667; best accuracy: 0.8667
--> Epoch 58: loss 0.3641; accuracy: 0.8667; best accuracy: 0.8667
--> Epoch 59: loss 0.3631; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 60: loss 0.3708; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 61: loss 0.3591; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 62: loss 0.3410; accuracy: 0.8667; best accuracy: 0.9333
--> Epoch 63: loss 0.3619; accuracy: 0.9333; best accuracy: 0.9333
--> Epoch 64: loss 0.3342; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 65: loss 0.3289; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 66: loss 0.3162; accuracy: 0.9333; best accuracy: 1.0000
--> Epoch 67: loss 0.3248; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 68: loss 0.2792; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 69: loss 0.2923; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 70: loss 0.3047; accuracy: 0.9333; best accuracy: 1.0000
--> Epoch 71: loss 0.2893; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 72: loss 0.2564; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 73: loss 0.2756; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 74: loss 0.2795; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 75: loss 0.2690; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 76: loss 0.2555; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 77: loss 0.2279; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 78: loss 0.2660; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 79: loss 0.2436; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 80: loss 0.2520; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 81: loss 0.2312; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 82: loss 0.2178; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 83: loss 0.2203; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 84: loss 0.2192; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 85: loss 0.1981; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 86: loss 0.2266; accuracy: 1.0000; best accuracy: 1.0000
