--> Epoch 0: loss 1.6233; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 1: loss 1.5827; accuracy: 0.1600; best accuracy: 0.2000
--> Epoch 2: loss 1.5522; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 3: loss 1.5286; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 4: loss 1.5087; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 5: loss 1.4932; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 6: loss 1.4783; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 7: loss 1.4635; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 8: loss 1.4496; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 9: loss 1.4367; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 10: loss 1.4248; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 11: loss 1.4133; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 12: loss 1.4023; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 13: loss 1.3921; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 14: loss 1.3821; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 15: loss 1.3721; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 16: loss 1.3618; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 17: loss 1.3520; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 18: loss 1.3423; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 19: loss 1.3325; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 20: loss 1.3229; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 21: loss 1.3140; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 22: loss 1.3050; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 23: loss 1.2960; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 24: loss 1.2871; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 25: loss 1.2785; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 26: loss 1.2700; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 27: loss 1.2614; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 28: loss 1.2530; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 29: loss 1.2444; accuracy: 0.2000; best accuracy: 0.2000
--> Epoch 30: loss 1.2356; accuracy: 0.2400; best accuracy: 0.2400
--> Epoch 31: loss 1.2271; accuracy: 0.2400; best accuracy: 0.2400
--> Epoch 32: loss 1.2187; accuracy: 0.2800; best accuracy: 0.2800
--> Epoch 33: loss 1.2104; accuracy: 0.3200; best accuracy: 0.3200
--> Epoch 34: loss 1.2021; accuracy: 0.3200; best accuracy: 0.3200
--> Epoch 35: loss 1.1939; accuracy: 0.3200; best accuracy: 0.3200
--> Epoch 36: loss 1.1856; accuracy: 0.3200; best accuracy: 0.3200
--> Epoch 37: loss 1.1775; accuracy: 0.3200; best accuracy: 0.3200
--> Epoch 38: loss 1.1694; accuracy: 0.3600; best accuracy: 0.3600
--> Epoch 39: loss 1.1615; accuracy: 0.3600; best accuracy: 0.3600
--> Epoch 40: loss 1.1533; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 41: loss 1.1450; accuracy: 0.4000; best accuracy: 0.4000
--> Epoch 42: loss 1.1368; accuracy: 0.4400; best accuracy: 0.4400
--> Epoch 43: loss 1.1285; accuracy: 0.4400; best accuracy: 0.4400
--> Epoch 44: loss 1.1197; accuracy: 0.4000; best accuracy: 0.4400
--> Epoch 45: loss 1.1104; accuracy: 0.4800; best accuracy: 0.4800
--> Epoch 46: loss 1.1014; accuracy: 0.4400; best accuracy: 0.4800
--> Epoch 47: loss 1.0927; accuracy: 0.4800; best accuracy: 0.4800
--> Epoch 48: loss 1.0845; accuracy: 0.4400; best accuracy: 0.4800
--> Epoch 49: loss 1.0783; accuracy: 0.5200; best accuracy: 0.5200
