--> Epoch 0: loss 0.7457; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 1: loss 0.7012; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 2: loss 0.6697; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 3: loss 0.6439; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 4: loss 0.6205; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 5: loss 0.5986; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 6: loss 0.5784; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 7: loss 0.5598; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 8: loss 0.5422; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 9: loss 0.5255; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 10: loss 0.5096; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 11: loss 0.4943; accuracy: 0.3000; best accuracy: 0.6000
--> Epoch 12: loss 0.4795; accuracy: 0.3000; best accuracy: 0.6000
--> Epoch 13: loss 0.4650; accuracy: 0.2000; best accuracy: 0.6000
--> Epoch 14: loss 0.4508; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 15: loss 0.4372; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 16: loss 0.4237; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 17: loss 0.4105; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 18: loss 0.3975; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 19: loss 0.3847; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 20: loss 0.3723; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 21: loss 0.3601; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 22: loss 0.3478; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 23: loss 0.3359; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 24: loss 0.3245; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 25: loss 0.3132; accuracy: 0.5000; best accuracy: 0.6000
--> Epoch 26: loss 0.3021; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 27: loss 0.2910; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 28: loss 0.2800; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 29: loss 0.2694; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 30: loss 0.2592; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 31: loss 0.2493; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 32: loss 0.2398; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 33: loss 0.2308; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 34: loss 0.2222; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 35: loss 0.2140; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 36: loss 0.2061; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 37: loss 0.1987; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 38: loss 0.1915; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 39: loss 0.1846; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 40: loss 0.1781; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 41: loss 0.1719; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 42: loss 0.1660; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 43: loss 0.1605; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 44: loss 0.1552; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 45: loss 0.1501; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 46: loss 0.1452; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 47: loss 0.1404; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 48: loss 0.1359; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 49: loss 0.1315; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 50: loss 0.1274; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 51: loss 0.1234; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 52: loss 0.1195; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 53: loss 0.1158; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 54: loss 0.1122; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 55: loss 0.1088; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 56: loss 0.1055; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 57: loss 0.1023; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 58: loss 0.0993; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 59: loss 0.0965; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 60: loss 0.0937; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 61: loss 0.0910; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 62: loss 0.0884; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 63: loss 0.0859; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 64: loss 0.0836; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 65: loss 0.0812; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 66: loss 0.0790; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 67: loss 0.0768; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 68: loss 0.0748; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 69: loss 0.0727; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 70: loss 0.0708; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 71: loss 0.0690; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 72: loss 0.0672; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 73: loss 0.0654; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 74: loss 0.0638; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 75: loss 0.0622; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 76: loss 0.0606; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 77: loss 0.0591; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 78: loss 0.0577; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 79: loss 0.0564; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 80: loss 0.0550; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 81: loss 0.0536; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 82: loss 0.0524; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 83: loss 0.0512; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 84: loss 0.0501; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 85: loss 0.0489; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 86: loss 0.0478; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 87: loss 0.0467; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 88: loss 0.0457; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 89: loss 0.0447; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 90: loss 0.0438; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 91: loss 0.0429; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 92: loss 0.0420; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 93: loss 0.0411; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 94: loss 0.0402; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 95: loss 0.0394; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 96: loss 0.0386; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 97: loss 0.0378; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 98: loss 0.0371; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 99: loss 0.0364; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 100: loss 0.0357; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 101: loss 0.0350; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 102: loss 0.0342; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 103: loss 0.0335; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 104: loss 0.0329; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 105: loss 0.0323; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 106: loss 0.0317; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 107: loss 0.0310; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 108: loss 0.0304; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 109: loss 0.0299; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 110: loss 0.0293; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 111: loss 0.0288; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 112: loss 0.0283; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 113: loss 0.0277; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 114: loss 0.0272; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 115: loss 0.0268; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 116: loss 0.0263; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 117: loss 0.0258; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 118: loss 0.0254; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 119: loss 0.0250; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 120: loss 0.0246; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 121: loss 0.0241; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 122: loss 0.0237; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 123: loss 0.0232; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 124: loss 0.0229; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 125: loss 0.0225; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 126: loss 0.0221; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 127: loss 0.0218; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 128: loss 0.0214; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 129: loss 0.0209; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 130: loss 0.0206; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 131: loss 0.0203; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 132: loss 0.0199; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 133: loss 0.0196; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 134: loss 0.0193; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 135: loss 0.0190; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 136: loss 0.0186; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 137: loss 0.0183; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 138: loss 0.0180; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 139: loss 0.0177; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 140: loss 0.0174; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 141: loss 0.0171; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 142: loss 0.0168; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 143: loss 0.0166; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 144: loss 0.0163; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 145: loss 0.0162; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 146: loss 0.0163; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 147: loss 0.0165; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 148: loss 0.0168; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 149: loss 0.0154; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 150: loss 0.0153; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 151: loss 0.0161; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 152: loss 0.0150; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 153: loss 0.0147; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 154: loss 0.0153; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 155: loss 0.0141; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 156: loss 0.0141; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 157: loss 0.0140; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 158: loss 0.0133; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 159: loss 0.0135; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 160: loss 0.0132; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 161: loss 0.0128; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 162: loss 0.0127; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 163: loss 0.0124; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 164: loss 0.0122; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 165: loss 0.0121; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 166: loss 0.0117; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 167: loss 0.0116; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 168: loss 0.0115; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 169: loss 0.0111; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 170: loss 0.0112; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 171: loss 0.0108; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 172: loss 0.0107; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 173: loss 0.0106; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 174: loss 0.0104; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 175: loss 0.0102; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 176: loss 0.0101; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 177: loss 0.0099; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 178: loss 0.0098; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 179: loss 0.0097; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 180: loss 0.0095; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 181: loss 0.0093; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 182: loss 0.0092; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 183: loss 0.0091; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 184: loss 0.0089; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 185: loss 0.0088; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 186: loss 0.0087; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 187: loss 0.0086; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 188: loss 0.0084; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 189: loss 0.0083; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 190: loss 0.0082; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 191: loss 0.0081; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 192: loss 0.0080; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 193: loss 0.0079; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 194: loss 0.0078; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 195: loss 0.0077; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 196: loss 0.0076; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 197: loss 0.0075; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 198: loss 0.0074; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 199: loss 0.0073; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 200: loss 0.0072; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 201: loss 0.0071; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 202: loss 0.0070; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 203: loss 0.0069; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 204: loss 0.0068; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 205: loss 0.0067; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 206: loss 0.0067; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 207: loss 0.0066; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 208: loss 0.0065; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 209: loss 0.0064; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 210: loss 0.0064; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 211: loss 0.0063; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 212: loss 0.0062; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 213: loss 0.0061; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 214: loss 0.0061; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 215: loss 0.0060; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 216: loss 0.0059; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 217: loss 0.0059; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 218: loss 0.0058; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 219: loss 0.0057; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 220: loss 0.0057; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 221: loss 0.0056; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 222: loss 0.0055; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 223: loss 0.0055; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 224: loss 0.0054; accuracy: 1.0000; best accuracy: 1.0000
