--> Epoch 0: loss 1.4339; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 1: loss 1.4027; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 2: loss 1.3807; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 3: loss 1.3629; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 4: loss 1.3472; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 5: loss 1.3326; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 6: loss 1.3187; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 7: loss 1.3062; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 8: loss 1.2941; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 9: loss 1.2816; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 10: loss 1.2689; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 11: loss 1.2560; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 12: loss 1.2429; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 13: loss 1.2297; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 14: loss 1.2163; accuracy: 0.1500; best accuracy: 0.2500
--> Epoch 15: loss 1.2029; accuracy: 0.1500; best accuracy: 0.2500
--> Epoch 16: loss 1.1895; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 17: loss 1.1762; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 18: loss 1.1631; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 19: loss 1.1498; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 20: loss 1.1363; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 21: loss 1.1229; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 22: loss 1.1098; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 23: loss 1.0970; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 24: loss 1.0845; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 25: loss 1.0726; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 26: loss 1.0607; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 27: loss 1.0491; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 28: loss 1.0378; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 29: loss 1.0269; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 30: loss 1.0169; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 31: loss 1.0063; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 32: loss 0.9948; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 33: loss 0.9848; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 34: loss 0.9748; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 35: loss 0.9639; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 36: loss 0.9545; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 37: loss 0.9446; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 38: loss 0.9344; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 39: loss 0.9251; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 40: loss 0.9158; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 41: loss 0.9060; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 42: loss 0.8965; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 43: loss 0.8876; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 44: loss 0.8790; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 45: loss 0.8705; accuracy: 0.2500; best accuracy: 0.2500
--> Epoch 46: loss 0.8624; accuracy: 0.3000; best accuracy: 0.3000
--> Epoch 47: loss 0.8538; accuracy: 0.4500; best accuracy: 0.4500
--> Epoch 48: loss 0.8451; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 49: loss 0.8367; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 50: loss 0.8282; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 51: loss 0.8204; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 52: loss 0.8131; accuracy: 0.5000; best accuracy: 0.5000
--> Epoch 53: loss 0.8051; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 54: loss 0.7968; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 55: loss 0.7885; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 56: loss 0.7810; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 57: loss 0.7739; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 58: loss 0.7667; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 59: loss 0.7590; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 60: loss 0.7513; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 61: loss 0.7443; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 62: loss 0.7374; accuracy: 0.6000; best accuracy: 0.6000
--> Epoch 63: loss 0.7310; accuracy: 0.6500; best accuracy: 0.6500
--> Epoch 64: loss 0.7243; accuracy: 0.6500; best accuracy: 0.6500
--> Epoch 65: loss 0.7168; accuracy: 0.6500; best accuracy: 0.6500
--> Epoch 66: loss 0.7096; accuracy: 0.6500; best accuracy: 0.6500
--> Epoch 67: loss 0.7026; accuracy: 0.7000; best accuracy: 0.7000
--> Epoch 68: loss 0.6964; accuracy: 0.6500; best accuracy: 0.7000
--> Epoch 69: loss 0.6902; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 70: loss 0.6838; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 71: loss 0.6773; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 72: loss 0.6698; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 73: loss 0.6632; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 74: loss 0.6564; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 75: loss 0.6500; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 76: loss 0.6436; accuracy: 0.7500; best accuracy: 0.7500
--> Epoch 77: loss 0.6378; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 78: loss 0.6321; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 79: loss 0.6271; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 80: loss 0.6216; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 81: loss 0.6147; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 82: loss 0.6060; accuracy: 0.8000; best accuracy: 0.8000
--> Epoch 83: loss 0.6003; accuracy: 0.9000; best accuracy: 0.9000
--> Epoch 84: loss 0.5963; accuracy: 0.8000; best accuracy: 0.9000
--> Epoch 85: loss 0.5881; accuracy: 0.9500; best accuracy: 0.9500
--> Epoch 86: loss 0.5810; accuracy: 0.8500; best accuracy: 0.9500
--> Epoch 87: loss 0.5754; accuracy: 0.9000; best accuracy: 0.9500
--> Epoch 88: loss 0.5694; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 89: loss 0.5626; accuracy: 0.9500; best accuracy: 1.0000
--> Epoch 90: loss 0.5563; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 91: loss 0.5514; accuracy: 0.9500; best accuracy: 1.0000
--> Epoch 92: loss 0.5463; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 93: loss 0.5397; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 94: loss 0.5325; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 95: loss 0.5277; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 96: loss 0.5216; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 97: loss 0.5141; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 98: loss 0.5084; accuracy: 0.9500; best accuracy: 1.0000
--> Epoch 99: loss 0.5034; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 100: loss 0.4985; accuracy: 0.9500; best accuracy: 1.0000
--> Epoch 101: loss 0.4958; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 102: loss 0.4910; accuracy: 0.9000; best accuracy: 1.0000
--> Epoch 103: loss 0.4834; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 104: loss 0.4763; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 105: loss 0.4689; accuracy: 0.9500; best accuracy: 1.0000
--> Epoch 106: loss 0.4664; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 107: loss 0.4625; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 108: loss 0.4531; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 109: loss 0.4477; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 110: loss 0.4442; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 111: loss 0.4395; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 112: loss 0.4323; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 113: loss 0.4257; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 114: loss 0.4212; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 115: loss 0.4153; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 116: loss 0.4111; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 117: loss 0.4071; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 118: loss 0.4013; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 119: loss 0.3955; accuracy: 1.0000; best accuracy: 1.0000
--> Epoch 120: loss 0.3901; accuracy: 1.0000; best accuracy: 1.0000
